Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
apostomo 11008 A apostolo 1 2.715968037 8 6.85 2 1 6.84 2.55 1 8 final 1 yes 1 26 27 Female Right Morning A 2019-01-21 10:01:44 9 833 2 1 un novelword 1
bottefa 21006 B bottega 0 3.468532444 7 6.76 1.95 1 6.89 1.95 1 7 final 1 yes 1 11 25 Male Right Morning B 2018-11-02 13:41:00 9 1778 1 0 un novelword 1
ospigio 21023 B ospizio 1 3.444987683 7 6.66 2.2 1 6.7 2.4 1 7 final 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 9 1815 2 1 un novelword 1
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 9 1828 2 1 un novelword 2
andensi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 27 20 Female Right Morning B 2019-01-21 13:43:02 9 2001 -1 0 un NA 1
ettasi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 14 22 Female Right Morning A 2018-11-12 13:44:47 9 976 2 0 un NA 1
fidessa NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 9 1301 2 0 un NA 1
iettro NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 17 24 Male Right Morning B 2018-11-15 14:10:31 9 1325 2 0 un NA 1
iticomi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 25 Female Right Morning B 2018-09-19 09:54:40 9 1850 1 1 un NA 1
mascuge NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 9 1091 2 0 un NA 1
cidezo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 20 32 Female Right Morning A 2018-12-03 13:26:00 9 1024 2 0 un NA 1
nonosla NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 8 24 Female Right Morning A 2018-10-16 13:48:31 9 1306 1 1 un NA 1
pispero NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 9 638 2 0 un NA 1
bandicci 22033 B NA NA NA NA NA NA NA 6.9 1.9 1 8 NA NA no 1 7 21 Male Right Morning B 2018-10-08 13:50:59 10 902 2 1 un novelword 1
bisconto 11010 A biscotto 1 3.810538236 8 6.86 1.95 1 6.95 1.9 1 8 final 1 yes 1 26 27 Female Right Morning A 2019-01-21 10:01:44 10 1272 1 0 un novelword 1
corazia 11015 A corazza 1 3.112609706 7 6.85 1.9 1 6.95 1.9 1 7 final 1 yes 1 14 22 Female Right Morning A 2018-11-12 13:44:47 10 1162 1 0 un novelword 1
ettodria 12036 A NA NA NA NA NA NA NA 6.9 2.85 2 8 NA NA no 1 16 24 Male Right Morning A 2018-11-15 10:03:56 10 1614 2 1 un novelword 1
favange 21015 B falange 1 2.533345911 7 6.86 1.85 1 6.76 2.15 1 7 middle 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 10 581 2 1 un novelword 3
inguilla 11005 A anguilla 1 3.016998033 8 6.79 2.1 1 6.77 2.4 1 8 initial 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 10 1110 2 1 un novelword 1
menpola 21021 B mensola 1 3.085792887 7 6.85 1.95 1 6.74 1.9 1 7 middle 1 yes 1 27 20 Female Right Morning B 2019-01-21 13:43:02 10 1366 2 1 un novelword 2
menpola 21021 B mensola 1 3.085792887 7 6.85 1.95 1 6.74 1.9 1 7 middle 1 yes 1 3 25 Female Right Morning B 2018-09-19 09:54:40 10 910 2 1 un novelword 1
alcome NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 11 25 Male Right Morning B 2018-11-02 13:41:00 10 1103 1 1 un NA 1
diample NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 8 24 Female Right Morning A 2018-10-16 13:48:31 10 1137 1 1 un NA 1
durice NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 23 32 Female Right Morning B 2019-01-08 13:42:19 10 794 1 1 un NA 1
sburtra NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 20 32 Female Right Morning A 2018-12-03 13:26:00 10 1270 2 0 un NA 1
tuainche NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 10 2001 -1 0 un NA 1
tappenia NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 17 24 Male Right Morning B 2018-11-15 14:10:31 10 1026 2 0 un NA 1
