Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount Resp Acc rt learning
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 12 24 Male Right Morning A 2018-11-05 09:59:30 62 amulero 1 1.1376 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 6 25 Female Right Morning A 2018-10-08 10:06:46 65 amulero 1 0.8827 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 39 amulero 1 0.8322 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 20 amulero 1 0.6909 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 5 amulero 1 0.7532 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 10 25 Female Right Morning A 2018-11-02 10:00:35 75 amulero 1 1.1048 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 6 25 Female Right Morning A 2018-10-08 10:06:46 74 amulero 1 0.9047 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 32 amulero 1 0.6296 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 2 20 Male Right Morning A 2018-09-12 08:46:12 40 amulero 1 0.5937 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 37 amulero 1 0.9778 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 2 20 Male Right Morning A 2018-09-12 08:46:12 10 amulero 1 1.0125 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 12 24 Male Right Morning A 2018-11-05 09:59:30 5 amulero 1 0.8782 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 10 25 Female Right Morning A 2018-11-02 10:00:35 13 amulero 1 1.0812 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 2 20 Male Right Morning A 2018-09-12 08:46:12 40 amulero 1 0.7631 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 28 26 Female Right Morning A 2019-01-30 10:01:19 15 amulero 1 0.6884 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 2 20 Male Right Morning A 2018-09-12 08:46:12 4 amulero 1 0.7562 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 6 25 Female Right Morning A 2018-10-08 10:06:46 69 amulero 1 0.8985 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 34 amulero 1 0.8183 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 12 24 Male Right Morning A 2018-11-05 09:59:30 24 amulero 1 0.9165 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 28 26 Female Right Morning A 2019-01-30 10:01:19 45 amulero 1 0.7951 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 18 23 Female Right Morning A 2018-11-19 10:16:43 13 amulero 1 1.3506 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 28 26 Female Right Morning A 2019-01-30 10:01:19 17 amulero 1 0.8028 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 6 25 Female Right Morning A 2018-10-08 10:06:46 8 amulero 1 0.8153 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 2 20 Male Right Morning A 2018-09-12 08:46:12 25 amulero 1 0.8278 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 2 20 Male Right Morning A 2018-09-12 08:46:12 10 amulero 1 0.8012 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 18 23 Female Right Morning A 2018-11-19 10:16:43 72 amulero 1 1.2189 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 18 23 Female Right Morning A 2018-11-19 10:16:43 43 amulero 1 1.1481 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 6 25 Female Right Morning A 2018-10-08 10:06:46 21 amulero 1 0.9103 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 10 25 Female Right Morning A 2018-11-02 10:00:35 59 amulero 1 0.7352 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 52 amulero 1 0.9701 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 28 26 Female Right Morning A 2019-01-30 10:01:19 57 amulero 1 0.8768 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 10 25 Female Right Morning A 2018-11-02 10:00:35 65 amulero 1 1.1913 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 18 23 Female Right Morning A 2018-11-19 10:16:43 62 amulero 1 1.1557 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 6 25 Female Right Morning A 2018-10-08 10:06:46 70 amulero 1 1.0082 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 37 amulero 1 1.3099 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 12 24 Male Right Morning A 2018-11-05 09:59:30 21 amulero 1 0.8981 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 10 25 Female Right Morning A 2018-11-02 10:00:35 20 amulero 1 1.0173 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 18 23 Female Right Morning A 2018-11-19 10:16:43 53 amulero 1 1.4208 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 28 26 Female Right Morning A 2019-01-30 10:01:19 38 amulero 1 0.7242 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 18 amulero 1 0.8001 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 6 9 23 Male Right Morning B 2018-10-30 13:58:50 49 anguato 1 0.7241 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 15 29 Female Right Morning B 2018-11-13 10:09:53 6 anguato 1 1.3367 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 15 29 Female Right Morning B 2018-11-13 10:09:53 70 anguato 1 1.2409 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 15 29 Female Right Morning B 2018-11-13 10:09:53 36 anguato 1 1.3198 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 15 29 Female Right Morning B 2018-11-13 10:09:53 11 anguato 1 1.5278 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 3 25 25 Female Right Morning B 2019-01-10 13:55:25 25 anguato 1 0.9635 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 4 13 25 Male Right Morning B 2018-11-07 14:04:14 5 anguato 1 0.924 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 25 25 Female Right Morning B 2019-01-10 13:55:25 41 anguato 1 1.1977 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 5 23 Male Right Morning B 2018-10-03 10:11:59 38 anguato 1 1.8426 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 15 29 Female Right Morning B 2018-11-13 10:09:53 64 anguato 1 1.2797 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 4 19 28 Female Right Morning B 2018-12-03 10:03:01 7 anguato 1 1.5654 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 13 25 Male Right Morning B 2018-11-07 14:04:14 74 anguato 1 1.014 in
